955868.23 112646.01 0.00
955908.23 112646.01 0.00
955948.23 112646.01 0.00
955988.23 112646.01 0.00
956028.23 112646.01 0.00
956068.23 112646.01 0.00
956108.23 112646.01 0.00
956148.23 112646.01 0.00
956188.23 112646.01 0.00
956228.23 112646.01 0.00
956268.23 112646.01 0.00
956308.23 112646.01 0.00
956348.23 112646.01 0.00
956388.23 112646.01 0.00
956428.23 112646.01 0.00
956468.23 112646.01 0.00
956508.23 112646.01 0.00
956548.23 112646.01 0.00
956588.23 112646.01 0.00
956628.23 112646.01 0.00
956668.23 112646.01 0.00
956708.23 112646.01 0.00
956748.23 112646.01 0.00
956788.23 112646.01 0.00
956828.23 112646.01 0.00
956868.23 112646.01 0.00
956908.23 112646.01 0.00
956948.23 112646.01 0.00
956988.23 112646.01 0.00
957028.23 112646.01 0.00
957068.23 112646.01 0.00
957108.23 112646.01 0.00
957148.23 112646.01 0.00
957188.23 112646.01 0.00
957228.23 112646.01 0.00
957268.23 112646.01 0.00
957308.23 112646.01 0.00
957348.23 112646.01 0.00
957388.23 112646.01 0.00
957428.23 112646.01 0.00
957468.23 112646.01 0.00
957508.23 112646.01 0.00
957548.23 112646.01 0.00
957588.23 112646.01 0.00
957628.23 112646.01 0.00
957668.23 112646.01 0.00
957708.23 112646.01 0.00
957748.23 112646.01 0.00
957788.23 112646.01 0.00
957828.23 112646.01 0.00
957868.23 112646.01 0.00
957908.23 112646.01 0.00
957948.23 112646.01 0.00
957988.23 112646.01 0.00
958028.23 112646.01 0.00
958068.23 112646.01 0.00
958108.23 112646.01 0.00
958148.23 112646.01 0.00
958188.23 112646.01 0.00
958228.23 112646.01 0.00
958268.23 112646.01 0.00
958308.23 112646.01 0.00
958348.23 112646.01 0.00
958388.23 112646.01 0.00
958428.23 112646.01 0.00
958468.23 112646.01 0.00
958508.23 112646.01 0.00
958548.23 112646.01 0.00
958588.23 112646.01 0.00
958628.23 112646.01 0.00
958668.23 112646.01 0.00
958708.23 112646.01 0.00
958748.23 112646.01 0.00
958788.23 112646.01 0.00
958828.23 112646.01 0.00
958868.23 112646.01 0.00
958908.23 112646.01 0.00
958948.23 112646.01 0.00
958988.23 112646.01 0.00
959028.23 112646.01 0.00
959068.23 112646.01 0.00
959108.23 112646.01 0.00
959148.23 112646.01 0.00
959188.23 112646.01 0.00
959228.23 112646.01 0.00
959268.23 112646.01 0.00
959308.23 112646.01 0.00
959348.23 112646.01 0.00
959388.23 112646.01 0.00
959428.23 112646.01 0.00
959468.23 112646.01 0.00
959508.23 112646.01 0.00
959548.23 112646.01 0.00
959588.23 112646.01 0.00
959628.23 112646.01 0.00
959668.23 112646.01 0.00
959708.23 112646.01 0.00
959748.23 112646.01 0.00
959788.23 112646.01 0.00
959828.23 112646.01 0.00
